=== 보조특징(선형성) 없음(05b 재사용) vs 있음(신규) 비교 ===
클래스                 없음          있음          차이
Center          0.9312      0.9343     +0.0031
Donut           0.9018      0.8757     -0.0261
Edge-Loc        0.8214      0.7923     -0.0291
Edge-Ring       0.9657      0.9596     -0.0061
Loc             0.7047      0.6912     -0.0135 <- Loc
Near-full       0.8490      0.7787     -0.0703
Random          0.9045      0.8888     -0.0157
Scratch         0.5261      0.5566     +0.0305 <- Scratch (핵심 관심사)
none            0.8386      0.8195     -0.0191

전체(macro)       0.8270      0.8107     -0.0163

소요 시간: 16.5분
