=== 64x64(05b 재사용) vs 128x128(신규) 비교, Flatten head ===
클래스              64x64     128x128          차이
Center          0.9312      0.9231     -0.0081
Donut           0.9018      0.8399     -0.0619
Edge-Loc        0.8214      0.7710     -0.0504
Edge-Ring       0.9657      0.9576     -0.0081
Loc             0.7047      0.6335     -0.0712
Near-full       0.8490      0.8136     -0.0354
Random          0.9045      0.9090     +0.0045
Scratch         0.5261      0.3603     -0.1658 <- Scratch (핵심 관심사)
none            0.8386      0.7688     -0.0698

전체(macro)       0.8270      0.7752     -0.0518

128x128 소요 시간: 59.7분
