"shape(H,W)",count,ratio(%)
"(32, 29)",108687,13.394
"(25, 27)",64083,7.897
"(49, 39)",39323,4.846
"(26, 26)",30078,3.707
"(30, 34)",29513,3.637
"(33, 33)",23886,2.944
"(33, 29)",20276,2.499
"(39, 37)",15327,1.889
"(52, 59)",14812,1.825
"(31, 31)",14569,1.795
"(39, 31)",13562,1.671
"(29, 26)",13247,1.632
"(27, 25)",12655,1.56
"(64, 71)",11692,1.441
"(31, 28)",10788,1.329
"(35, 40)",10676,1.316
"(38, 38)",8895,1.096
"(44, 44)",8601,1.06
"(34, 31)",8155,1.005
"(51, 59)",7890,0.972
"(212, 84)",7561,0.932
"(44, 41)",7131,0.879
"(42, 44)",7035,0.867
"(35, 31)",6629,0.817
"(56, 41)",5599,0.69
"(45, 43)",5598,0.69
"(72, 72)",5533,0.682
"(41, 33)",5432,0.669
"(29, 27)",5417,0.668
"(40, 40)",5224,0.644
"(41, 38)",5062,0.624
"(51, 30)",5000,0.616
"(87, 74)",4845,0.597
"(41, 42)",4639,0.572
"(18, 19)",4420,0.545
"(25, 26)",4417,0.544
"(89, 76)",4398,0.542
"(43, 44)",4289,0.529
"(64, 72)",4273,0.527
"(86, 89)",4038,0.498
"(33, 37)",3923,0.483
"(63, 62)",3913,0.482
"(88, 81)",3863,0.476
"(89, 112)",3856,0.475
"(74, 76)",3776,0.465
"(54, 71)",3726,0.459
"(75, 61)",3723,0.459
"(50, 43)",3326,0.41
"(41, 41)",3167,0.39
"(63, 160)",3075,0.379
"(22, 50)",2971,0.366
"(45, 42)",2730,0.336
"(41, 40)",2709,0.334
"(38, 36)",2621,0.323
"(66, 77)",2593,0.32
"(41, 45)",2583,0.318
"(36, 36)",2562,0.316
"(34, 34)",2529,0.312
"(39, 50)",2353,0.29
"(88, 56)",2198,0.271
"(57, 58)",2180,0.269
"(37, 55)",2174,0.268
"(46, 46)",2168,0.267
"(26, 30)",2065,0.254
"(38, 42)",2024,0.249
"(59, 54)",2018,0.249
"(34, 35)",1982,0.244
"(33, 35)",1973,0.243
"(113, 71)",1964,0.242
"(42, 61)",1948,0.24
"(51, 50)",1936,0.239
"(135, 146)",1872,0.231
"(60, 55)",1819,0.224
"(87, 89)",1808,0.223
"(35, 36)",1724,0.212
"(59, 46)",1715,0.211
"(31, 33)",1687,0.208
"(47, 47)",1671,0.206
"(63, 76)",1646,0.203
"(43, 42)",1620,0.2
"(134, 99)",1618,0.199
"(80, 77)",1549,0.191
"(53, 52)",1523,0.188
"(72, 44)",1520,0.187
"(59, 60)",1504,0.185
"(38, 40)",1497,0.184
"(66, 72)",1484,0.183
"(37, 31)",1475,0.182
"(101, 103)",1474,0.182
"(36, 34)",1471,0.181
"(81, 73)",1440,0.177
"(81, 81)",1430,0.176
"(72, 43)",1399,0.172
"(107, 150)",1399,0.172
"(82, 83)",1386,0.171
"(76, 71)",1373,0.169
"(70, 75)",1370,0.169
"(61, 60)",1332,0.164
"(64, 60)",1299,0.16
"(58, 52)",1281,0.158
"(37, 37)",1257,0.155
"(60, 119)",1231,0.152
"(122, 102)",1227,0.151
"(75, 75)",1217,0.15
"(63, 58)",1214,0.15
"(53, 58)",1212,0.149
"(45, 45)",1207,0.149
"(30, 31)",1206,0.149
"(32, 32)",1195,0.147
"(62, 76)",1193,0.147
"(56, 57)",1150,0.142
"(73, 79)",1149,0.142
"(75, 48)",1131,0.139
"(62, 61)",1100,0.136
"(48, 51)",1074,0.132
"(52, 51)",1066,0.131
"(35, 38)",1040,0.128
"(89, 90)",1022,0.126
"(137, 116)",999,0.123
"(58, 53)",965,0.119
"(39, 45)",950,0.117
"(44, 43)",948,0.117
"(40, 43)",946,0.117
"(72, 80)",932,0.115
"(48, 48)",913,0.113
"(51, 57)",875,0.108
"(44, 48)",874,0.108
"(48, 47)",872,0.107
"(47, 42)",851,0.105
"(59, 56)",824,0.102
"(44, 40)",823,0.101
"(118, 84)",814,0.1
"(63, 64)",808,0.1
"(63, 66)",800,0.099
"(60, 50)",796,0.098
"(114, 90)",792,0.098
"(35, 34)",776,0.096
"(76, 85)",764,0.094
"(44, 45)",750,0.092
"(64, 61)",749,0.092
"(50, 50)",748,0.092
"(39, 39)",733,0.09
"(67, 71)",727,0.09
"(46, 45)",726,0.089
"(36, 41)",726,0.089
"(79, 80)",715,0.088
"(133, 97)",709,0.087
"(69, 69)",700,0.086
"(43, 43)",695,0.086
"(68, 80)",688,0.085
"(79, 58)",655,0.081
"(71, 70)",649,0.08
"(102, 66)",636,0.078
"(45, 48)",621,0.077
"(36, 30)",619,0.076
"(52, 52)",615,0.076
"(55, 51)",612,0.075
"(69, 73)",610,0.075
"(30, 30)",609,0.075
"(10, 150)",595,0.073
"(71, 63)",586,0.072
"(55, 55)",575,0.071
"(69, 79)",574,0.071
"(32, 31)",561,0.069
"(74, 61)",550,0.068
"(98, 64)",549,0.068
"(37, 42)",537,0.066
"(64, 63)",525,0.065
"(45, 51)",524,0.065
"(29, 35)",523,0.064
"(67, 65)",511,0.063
"(41, 39)",509,0.063
"(72, 67)",500,0.062
"(87, 75)",498,0.061
"(26, 28)",497,0.061
"(73, 67)",496,0.061
"(46, 50)",479,0.059
"(42, 43)",476,0.059
"(33, 32)",454,0.056
"(56, 35)",449,0.055
"(35, 37)",449,0.055
"(34, 33)",448,0.055
"(73, 72)",447,0.055
"(59, 42)",441,0.054
"(57, 39)",440,0.054
"(32, 33)",421,0.052
"(73, 58)",420,0.052
"(40, 18)",418,0.052
"(84, 74)",414,0.051
"(28, 28)",411,0.051
"(38, 39)",400,0.049
"(53, 59)",400,0.049
"(56, 52)",400,0.049
"(39, 46)",399,0.049
"(22, 35)",395,0.049
"(37, 40)",389,0.048
"(65, 48)",387,0.048
"(52, 55)",386,0.048
"(67, 73)",381,0.047
"(110, 96)",375,0.046
"(95, 100)",375,0.046
"(56, 51)",364,0.045
"(84, 63)",361,0.044
"(57, 60)",361,0.044
"(115, 92)",361,0.044
"(51, 41)",352,0.043
"(66, 78)",350,0.043
"(66, 53)",349,0.043
"(68, 64)",342,0.042
"(33, 24)",340,0.042
"(49, 48)",338,0.042
"(47, 43)",326,0.04
"(29, 30)",325,0.04
"(68, 72)",325,0.04
"(94, 70)",324,0.04
"(96, 97)",324,0.04
"(57, 56)",323,0.04
"(55, 57)",322,0.04
"(53, 44)",322,0.04
"(71, 48)",321,0.04
"(68, 65)",313,0.039
"(25, 28)",309,0.038
"(42, 39)",305,0.038
"(63, 59)",300,0.037
"(42, 42)",300,0.037
"(35, 29)",300,0.037
"(72, 76)",300,0.037
"(27, 31)",298,0.037
"(26, 25)",295,0.036
"(55, 53)",291,0.036
"(52, 63)",276,0.034
"(49, 53)",275,0.034
"(50, 54)",275,0.034
"(41, 44)",275,0.034
"(62, 64)",273,0.034
"(90, 67)",273,0.034
"(29, 29)",259,0.032
"(59, 62)",259,0.032
"(48, 52)",253,0.031
"(27, 27)",250,0.031
"(85, 57)",250,0.031
"(45, 46)",248,0.031
"(42, 56)",248,0.031
"(79, 104)",246,0.03
"(38, 34)",245,0.03
"(58, 46)",243,0.03
"(56, 55)",226,0.028
"(57, 57)",225,0.028
"(58, 59)",225,0.028
"(76, 64)",225,0.028
"(52, 53)",225,0.028
"(47, 45)",225,0.028
"(55, 68)",225,0.028
"(76, 70)",224,0.028
"(50, 39)",214,0.026
"(59, 58)",209,0.026
"(66, 63)",207,0.026
"(51, 40)",202,0.025
"(41, 57)",201,0.025
"(34, 29)",200,0.025
"(98, 71)",200,0.025
"(66, 66)",200,0.025
"(54, 45)",198,0.024
"(23, 34)",198,0.024
"(29, 28)",197,0.024
"(77, 76)",197,0.024
"(57, 64)",194,0.024
"(40, 45)",188,0.023
"(54, 42)",185,0.023
"(30, 40)",185,0.023
"(132, 136)",177,0.022
"(53, 61)",176,0.022
"(51, 61)",176,0.022
"(92, 87)",175,0.022
"(75, 76)",175,0.022
"(107, 107)",175,0.022
"(37, 41)",175,0.022
"(75, 77)",175,0.022
"(50, 49)",174,0.021
"(119, 116)",174,0.021
"(53, 54)",173,0.021
"(30, 32)",172,0.021
"(52, 46)",168,0.021
"(59, 50)",165,0.02
"(42, 45)",164,0.02
"(42, 41)",164,0.02
"(50, 68)",162,0.02
"(85, 68)",160,0.02
"(69, 62)",160,0.02
"(60, 54)",158,0.019
"(72, 50)",157,0.019
"(38, 41)",151,0.019
"(115, 117)",150,0.018
"(37, 38)",150,0.018
"(38, 62)",150,0.018
"(62, 62)",150,0.018
"(36, 38)",150,0.018
"(31, 32)",150,0.018
"(63, 63)",150,0.018
"(55, 56)",150,0.018
"(57, 67)",149,0.018
"(51, 44)",144,0.018
"(55, 48)",137,0.017
"(123, 136)",135,0.017
"(50, 51)",133,0.016
"(39, 40)",131,0.016
"(71, 72)",127,0.016
"(71, 64)",126,0.016
"(77, 60)",126,0.016
"(29, 24)",126,0.016
"(62, 75)",125,0.015
"(60, 59)",125,0.015
"(43, 133)",125,0.015
"(68, 75)",125,0.015
"(65, 60)",125,0.015
"(101, 65)",125,0.015
"(21, 23)",125,0.015
"(47, 52)",125,0.015
"(55, 66)",125,0.015
"(107, 131)",125,0.015
"(58, 50)",125,0.015
"(126, 143)",124,0.015
"(65, 73)",124,0.015
"(68, 69)",123,0.015
"(51, 62)",122,0.015
"(20, 19)",121,0.015
"(41, 43)",120,0.015
"(31, 29)",119,0.015
"(28, 29)",118,0.015
"(56, 50)",114,0.014
"(26, 32)",113,0.014
"(58, 58)",111,0.014
"(41, 51)",108,0.013
"(116, 146)",107,0.013
"(32, 36)",104,0.013
"(99, 110)",103,0.013
"(15, 15)",103,0.013
"(39, 33)",103,0.013
"(37, 36)",100,0.012
"(27, 30)",100,0.012
"(56, 63)",100,0.012
"(86, 82)",100,0.012
"(87, 71)",100,0.012
"(92, 94)",100,0.012
"(73, 78)",100,0.012
"(33, 31)",100,0.012
"(62, 65)",100,0.012
"(36, 37)",100,0.012
"(54, 50)",100,0.012
"(26, 29)",100,0.012
"(75, 79)",100,0.012
"(95, 89)",100,0.012
"(112, 83)",99,0.012
"(116, 129)",99,0.012
"(100, 72)",99,0.012
"(14, 12)",98,0.012
"(47, 32)",97,0.012
"(28, 45)",89,0.011
"(36, 35)",89,0.011
"(28, 26)",84,0.01
"(92, 91)",83,0.01
"(36, 42)",82,0.01
"(91, 62)",80,0.01
"(77, 47)",80,0.01
"(66, 71)",78,0.01
"(33, 20)",76,0.009
"(48, 49)",75,0.009
"(80, 94)",75,0.009
"(53, 66)",75,0.009
"(86, 87)",75,0.009
"(48, 61)",75,0.009
"(73, 73)",75,0.009
"(87, 99)",75,0.009
"(35, 33)",75,0.009
"(74, 74)",75,0.009
"(131, 66)",75,0.009
"(56, 46)",75,0.009
"(46, 41)",75,0.009
"(58, 80)",74,0.009
"(57, 55)",73,0.009
"(56, 62)",68,0.008
"(42, 29)",66,0.008
"(122, 204)",66,0.008
"(58, 60)",65,0.008
"(153, 187)",65,0.008
"(51, 53)",65,0.008
"(53, 53)",63,0.008
"(31, 24)",62,0.008
"(36, 32)",61,0.008
"(53, 55)",55,0.007
"(155, 175)",53,0.007
"(54, 54)",53,0.007
"(49, 51)",53,0.007
"(30, 35)",52,0.006
"(101, 49)",51,0.006
"(46, 37)",51,0.006
